ID,Title,Abstract,Relevance - / Exclusion Criteria,Summary - Relevance,Author Keywords,Paper Keywords,Authors,Author full names,Author(s) ID,Publisher,Year,Language of Original Document,Document Type,Publication Stage,Exclusion Rationale (why do you exclude?),Ranking,Source title,DOI,Link
1,Threat Modeling of AI-as-a-Service Framework,"Artificial intelligence will be one of the key enablers of 6G technology. Compared to today's networks where we mostly benefit from ubiquitous communication capabilities, 6G is expected to transform the network into a powerfully distributed AI platform and exposes its AI capabilities to consumers. This is expected to be enabled by the AI-as-a-Service (AIaaS) framework. The latter unlocks new possibilities for network management and orchestration in the context of 6G by enabling network service providers to leverage AI capabilities as a service effectively. Thus, it is extremely important for the AIaaS framework to be intelligently protected against potential threats and malicious attacks. In this paper, we performed a comprehensive threat analysis of the AIaaS framework, identifying potential security threats and discussing mitigation strategies. © 2024 IEEE.",,,Communication capabilities; Distributed AI; Is-enabled; Malicious attack; Network service providers; Networks management; Potential threats; Service framework; Threat modeling; Ubiquitous communication,Gulen U.; Tuna O.F.; Nour B.; Laaroussi Z.; Karacay L.; Karakoc F.,"Gulen, Utku (56294671700); Tuna, Omer Faruk (57221813193); Nour, Boubakr (57195226408); Laaroussi, Zakaria (57205595238); Karacay, Leyli (57217278858); Karakoc, Ferhat (59268338000)",56294671700; 57221813193; 57195226408; 57205595238; 57217278858; 59268338000,IEEE Computer Society,2024,English,"International Conference on Wireless and Mobile Computing, Networking and Communications",0,10.1109/WiMob61911.2024.10770432,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214661111&doi=10.1109%2fWiMob61911.2024.10770432&partnerID=40&md5=b5274785f6149270d4af1b6ea492b248,21619646,979-835038744-5,Conference paper,1
2,ThreatFinderAI: Automated Threat Modeling Applied to LLM System Integration,"Artificial Intelligence (AI) is a rapidly integrated technology, significantly contributing to advancements like 6G. However, its swift adoption raises considerable security concerns. Large Language Models (LLMs) pose risks such as spear phishing, code injections, and remote code execution. Conventional threat modeling, used in secure software development, faces challenges when applied to AI systems, as existing methodologies are designed for traditional software. Furthermore, AI-specific threat modeling research is sparse and lacks approaches providing practical support or automation. Thus, this demo paper presents ThreatFinderAI, an asset-centric threat modeling and risk assessment framework. ThreatFinderAI fulfills seven steps aligned with AI system design and transforms AI threat and control knowledge bases into a queryable knowledge graph for automated asset identification and threat elicitation. It also proposes business impact analysis and expert estimates for AI threat impact quantification. In the demonstration, ThreatFinderAI is illustrated by securing a customer care application relying on LLMs. Through this, it is demonstrated how the proposed framework can be used to identify relevant threats and practical countermeasures and communicate strategic risk.  © 2024 IFIP.",,AI Security; AI Systems; Large Language Models; Threat Modeling,Risk assessment; Artificial intelligence security; Artificial intelligence systems; Code injection; Integrated technologies; Language model; Large language model; Modelling systems; Spear phishing; System integration; Threat modeling; Knowledge graph,Von Der Assen J.; Huertas A.; Sharif J.; Feng C.; Bovet G.; Stiller B.,"Von Der Assen, Jan (57226838017); Huertas, Alberto (57984911800); Sharif, Jamo (58957216000); Feng, Chao (57224898081); Bovet, Gérôme (55804611600); Stiller, Burkhard (7004689641)",57226838017; 57984911800; 58957216000; 57224898081; 55804611600; 7004689641,Institute of Electrical and Electronics Engineers Inc.,2024,English,"Proceedings of the 2024 20th International Conference on Network and Service Management: AI-Powered Network and Service Management for Tomorrow's Digital World, CNSM 2024",0,10.23919/CNSM62983.2024.10814632,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216521822&doi=10.23919%2fCNSM62983.2024.10814632&partnerID=40&md5=c57c6f90e15945d0269acc10943b6cec,,978-390317666-9,Conference paper,1
3,"ADMIn: Attacks on Dataset, Model and Input: A Threat Model for AI Based Software","Machine learning (ML) and artificial intelligence (AI) techniques have now become commonplace in software products and services. When threat modelling a system, it is therefore important that we consider threats unique to ML and AI techniques, in addition to threats to our software. In this paper, we present a threat model that can be used to systematically uncover threats to AI based software. The threat model consists of two main parts, a model of the software development process for AI based software and an attack taxonomy that has been developed using attacks found in adversarial AI research. We apply the threat model to two real life AI based software and discuss the process and the threats found. © 2024 by SCITEPRESS – Science and Technology Publications, Lda.",,Artificial Intelligence; Machine Learning; Taxonomy; Threat Modelling,,Kumar V.; Mayo J.; Bahiss K.,"Kumar, Vimal (55897237400); Mayo, Juliette (58849870600); Bahiss, Khadija (36460549500)",55897237400; 58849870600; 36460549500,"Science and Technology Publications, Lda",2024,English,International Conference on Information Systems Security and Privacy,0,10.5220/0012394100003648,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190840778&doi=10.5220%2f0012394100003648&partnerID=40&md5=815fd2f0330e337f2aad373f8bf50336,21844356,978-989758683-5,Conference paper,1
4,A Threat Analysis Methodology for Security Requirements Elicitation in Machine Learning Based Systems,"Machine learning (ML) models are now a key component for many applications. However, machine learning based systems (MLBSs), those systems that incorporate them, have proven vulnerable to various new attacks as a result. Currently, there exists no systematic process for eliciting security requirements for MLBSs that incorporates the identification of adversarial machine learning (AML) threats with those of a traditional non-MLBS. In this research study, we explore the applicability of traditional threat modeling and existing attack libraries in addressing MLBS security in the requirements phase. Using an example MLBS, we examined the applicability of 1) DFD and STRIDE in enumerating AML threats; 2) Microsoft SDL AI/ML Bug Bar in ranking the impact of the identified threats; and 3) the Microsoft AML attack library in eliciting threat mitigations to MLBSs. Such a method has the potential to assist team members, even with only domain specific knowledge, to collaboratively mitigate MLBS threats. © 2020 IEEE.",,Adversarial Machine Learning; Attack Libraries; Model Inference and Perturbation and Evasion Attacks; Requirements Elicitation Using Threat Modeling; Security Requirements Engineering; STRIDE,Computer software selection and evaluation; Cryptography; Requirements engineering; Software reliability; Domain-specific knowledge; Requirements phase; Research studies; Security requirements; Systematic process; Threat analysis; Threat mitigation; Threat modeling; Machine learning,Wilhjelm C.; Younis A.A.,"Wilhjelm, Carl (57218684002); Younis, Awad A. (56115098000)",57218684002; 56115098000,Institute of Electrical and Electronics Engineers Inc.,2020,English,"Proceedings - Companion of the 2020 IEEE 20th International Conference on Software Quality, Reliability, and Security, QRS-C 2020",24,10.1109/QRS-C51114.2020.00078,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099374821&doi=10.1109%2fQRS-C51114.2020.00078&partnerID=40&md5=14327330dd067f6c8f3852968687e3ea,,978-172818915-4,Conference paper,1
5,Modeling Threats to AI-ML Systems Using STRIDE †,"The application of emerging technologies, such as Artificial Intelligence (AI), entails risks that need to be addressed to ensure secure and trustworthy socio-technical infrastructures. Machine Learning (ML), the most developed subfield of AI, allows for improved decision-making processes. However, ML models exhibit specific vulnerabilities that conventional IT systems are not subject to. As systems incorporating ML components become increasingly pervasive, the need to provide security practitioners with threat modeling tailored to the specific AI-ML pipeline is of paramount importance. Currently, there exist no well-established approach accounting for the entire ML life-cycle in the identification and analysis of threats targeting ML techniques. In this paper, we propose an asset-centered methodology—STRIDE-AI—for assessing the security of AI-ML-based systems. We discuss how to apply the FMEA process to identify how assets generated and used at different stages of the ML life-cycle may fail. By adapting Microsoft’s STRIDE approach to the AI-ML domain, we map potential ML failure modes to threats and security properties these threats may endanger. The proposed methodology can assist ML practitioners in choosing the most effective security controls to protect ML assets. We illustrate STRIDE-AI with the help of a real-world use case selected from the TOREADOR H2020 project. © 2022 by the authors.",,artificial intelligence security; threat modeling; vulnerability assessment,Decision making; Life cycle; Artificial intelligence security; Decision-making process; Emerging technologies; Machine learning systems; Machine-learning; Sociotechnical; Subfields; Technical infrastructure; Threat modeling; Vulnerability assessments; article; artificial intelligence; failure mode and effects analysis; human; learning; life cycle; machine learning; physician; pipeline; security; vulnerability; Artificial intelligence,Mauri L.; Damiani E.,"Mauri, Lara (57203516713); Damiani, Ernesto (57195375517)",57203516713; 57195375517,MDPI,2022,English,Sensors,25,10.3390/s22176662,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137600332&doi=10.3390%2fs22176662&partnerID=40&md5=902b7c9f8cd00b6cab190c226bd7d516,14248220,,Journal Paper,1
6,sAIfe: Towards a Lightweight Threat Modeling Approach to Support Machine Learning Application Development,"With the growing popularization of the Artificial Intelligence (AI) field, the development of systems that rely on, at least, one of its subareas has also experienced a great increase. The recent adoption of AI techniques in common systems - such as mobile apps and household appliances - requires a higher level of attention, to ensure their safety and proper operation. In this scenario, assuring the adequate functioning of these solutions culminates, in most cases, in ensuring the security of the application and its data throughout the software development life cycle. Software developers, however, often find security-related tasks challenging to learn and execute, and frequently put them aside. Additionally, currently available threat modeling frameworks are difficult to integrate into software development life cycles, which prioritize agility and automation over extensive analysis and documentation. This work, therefore, proposes sAIfe, a new threat modeling method for security analysis of AI applications under development. By providing prescriptive steps, a graphical reference element and ready-made remediation suggestions, this approach aims at simplifying the risk assessment process for the programmer, unveiling possible weaknesses and suggesting respective solutions in a practical way. sAIfe is tested on a real-world AI application, revealing positive results, with many potential issues and mitigation options detected by the method, which are registered in the form of a case study. Finally, a validation with developers in academia is also carried out, returning great feedback on sAIfe’s ease of use and speed of application. © 2024 Copyright held by the owner/author(s).",,Artificial Intelligence; Machine Learning; Security; Threat Modeling,Application programs; Contrastive Learning; Mobile applications; Application development; Artificial intelligence techniques; Machine learning applications; Machine-learning; Mobile app; Modeling approach; Security; Software development life-cycle; Sub-areas; Threat modeling; Adversarial machine learning,Messas G.E.; Miani R.S.; Zarpelão B.B.,"Messas, Gabriel Esteves (59531565100); Miani, Rodrigo Sanches (25929439300); Zarpelão, Bruno Bogaz (15063793000)",59531565100; 25929439300; 15063793000,Association for Computing Machinery,2024,English,ACM International Conference Proceeding Series,0,10.1145/3701625.3701640,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216196908&doi=10.1145%2f3701625.3701640&partnerID=40&md5=c1fb920da522e8d81e4670b0fc426b24,,979-840071777-2,Conference paper,1
7,Asset-Centric Threat Modeling for AI-Based Systems,"Threat modeling for systems relying on Artificial In-telligence is not well explored. While conventional threat modeling methods and tools do not address AI-related threats, research on this amalgamation still lacks solutions capable of guiding and automating the process, as well as providing evidence that the methods hold up in practice. Consequently, this paper presents ThreatFinderAI, an approach and tool providing guidance and automation to model AI-related assets, threats, countermeasures, and quantify residual risks. To do so, ThreatFinderAI presents a novel AI-based stencil library for automated asset extraction, a threat knowledge graph spanning several community initiatives, and a novel method to identify business impacts of AI threats and an approach to quantify them. To evaluate the practicality of the approach, participants were tasked to recreate a threat model developed by cybersecurity experts of an AI-based healthcare platform. Secondly, the approach was used to identify and discuss strategic risks in an LLM-based application through a case study. Overall, the solution's usability was well-perceived and effectively supports threat identification and risk discussion. © 2024 IEEE.",,AI Security; Risk Analysis; Threat Modeling,AI security; Business impact; Hold up; Knowledge graphs; Model method; Modelling tools; Novel methods; Residual risk; Risk analyze; Threat modeling,Von Der Assen J.; Sharif J.; Feng C.; Killer C.; Bovet G.; Stiller B.,"Von Der Assen, Jan (57226838017); Sharif, Jamo (58957216000); Feng, Chao (57224898081); Killer, Christian (57190031170); Bovet, Gerome (55804611600); Stiller, Burkhard (7004689641)",57226838017; 58957216000; 57224898081; 57190031170; 55804611600; 7004689641,Institute of Electrical and Electronics Engineers Inc.,2024,English,"Proceedings of the 2024 IEEE International Conference on Cyber Security and Resilience, CSR 2024",1,10.1109/CSR61664.2024.10679445,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206187492&doi=10.1109%2fCSR61664.2024.10679445&partnerID=40&md5=b7c16f456139eb9029c8a48d3f9fb1f7,,979-835037536-7,Conference paper,1
8,STRIDE-AI: An approach to identifying vulnerabilities of machine learning assets,"We propose a security methodology for Machine Learning (ML) pipelines, supporting the definition of key security properties of ML assets, the identification of threats to them as well as the selection, test and verification of security controls. Our proposal is based on STRIDE, a widely used approach to threat modeling originally developed by Microsoft. We adapt STRIDE to the Artificial Intelligence domain by taking a security property-driven approach that also provides guidance in selecting the security controls needed to alleviate the identified threats. Our proposal is illustrated via an industrial case study. © 2021 IEEE.",,Artificial Intelligence security; Threat modeling; Vulnerability assessment,Machine learning; Security of data; Industrial case study; MicroSoft; Security controls; Security methodologies; Security properties; Threat modeling; Air navigation,Mauri L.; Damiani E.,"Mauri, Lara (57203516713); Damiani, Ernesto (57195375517)",57203516713; 57195375517,Institute of Electrical and Electronics Engineers Inc.,2021,English,"Proceedings of the 2021 IEEE International Conference on Cyber Security and Resilience, CSR 2021",13,10.1109/CSR51186.2021.9527917,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115667014&doi=10.1109%2fCSR51186.2021.9527917&partnerID=40&md5=df872933f908412e1e4968eacdcf1441,,978-166540285-9,Conference paper,1
